Date;Type;Merchant/Description;Debit/Credit;Balance;
08/03/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£2.99;+£18.57;
07/03/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£15.50;+£21.56;
07/03/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£37.06;
07/03/2023;CARD PAYMENT;************** **** ***** ***** ** **********;-£11.50;+£41.06;
06/03/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£23.04;+£52.56;
06/03/2023;CARD PAYMENT;******* ******* **** ***** ***** ** **********;-£3.75;+£75.60;
06/03/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£3.60;+£79.35;
06/03/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£3.50;+£82.95;
06/03/2023;CARD PAYMENT;******* **** *** **** ***** ***** ** **********;-£10.35;+£86.45;
06/03/2023;CARD PAYMENT;************* **** ***** ***** ** **********;-£12.10;+£96.80;
05/03/2023;CARD PAYMENT;**** **** ****** ***** **** ***** ***** ** **********;-£30.10;+£108.90;
05/03/2023;CARD PAYMENT;**** ******* ** *** ****** **   ** **********;-£7.70;+£139.00;
05/03/2023;CARD PAYMENT;**** * ****** **** ***** ***** ** **********;-£3.95;+£146.70;
05/03/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£4.80;+£150.65;
05/03/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£120.00;+£155.45;
05/03/2023;CARD PAYMENT;**** **** **** ***** ***** ** **********;-£3.45;+£35.45;
04/03/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£4.00;+£38.90;
04/03/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£14.42;+£42.90;
04/03/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.50;+£57.32;
04/03/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.49;+£58.82;
04/03/2023;FAST PAYMENT;****** ******** ******* ******** **** ******** *;+£50.00;+£60.31;
03/03/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£4.00;+£10.31;
03/03/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£0.55;+£14.31;
02/03/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.45;+£14.86;
02/03/2023;CARD PAYMENT;****** **** * **** *** **** ***** ***** ** **********;-£24.00;+£16.31;
01/03/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£55.27;+£40.31;
01/03/2023;PAYMENTS;**** ******* *** ****** ******* ** *** ******* ********* ******** * ******* ** **;-£700.00;+£95.58;
01/03/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£4.00;+£795.58;
01/03/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£1.00;+£799.58;
01/03/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.25;+£800.58;
01/03/2023;DD;DIRECT DEBIT PAYMENT TO UNIHOMES REF *XVQBDR, MANDATE NO ****;-£88.82;+£801.83;
01/03/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£15.50;+£890.65;
28/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£5.10;+£906.15;
28/02/2023;CARD PAYMENT;****** ****** ******* **** ***** ***** ** **********;-£3.00;+£911.25;
28/02/2023;PAYMENTS;******** ***** *** ****** ******* ** **** ****** *** ********* **** ******* * ******* ** *;-£550.00;+£914.25;
28/02/2023;CREDIT IN;**** **** ****** *** ******** ******** **********;+£758.30;+£1464.25;
27/02/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£7.65;+£705.95;
27/02/2023;CARD PAYMENT;**** ******* ** ****** ***************   ** **********;-£4.49;+£713.60;
26/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£640.00;+£718.09;
26/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£110.00;+£78.09;
26/02/2023;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£13.80;-£31.91;
26/02/2023;CARD PAYMENT;*** **** ***** ***** ** **********;-£16.28;-£18.11;
26/02/2023;CARD PAYMENT;******* ******* **** ***** ***** ** **********;-£3.75;-£1.83;
25/02/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£12.06;+£1.92;
25/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£9.48;+£13.98;
24/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£1.99;+£23.46;
24/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£50.00;+£25.45;
24/02/2023;CARD PAYMENT;***** **** ***** ***** ** **********;-£0.95;-£24.55;
23/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£0.55;-£23.60;
23/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£4.00;-£23.05;
23/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£3.30;-£19.05;
23/02/2023;CARD PAYMENT;******** ****** **** ***** ***** ** **********;-£4.50;-£15.75;
22/02/2023;CARD PAYMENT;******* **** ***** ***** ** **********;-£10.50;-£11.25;
22/02/2023;CARD PAYMENT;******* **** **** ***** ***** ** **********;-£26.00;-£0.75;
22/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£4.25;+£25.25;
22/02/2023;CARD PAYMENT;****** **** * **** *** **** ***** ***** ** **********;-£10.50;+£29.50;
22/02/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£15.50;+£40.00;
22/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£3.49;+£55.50;
21/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£58.99;
21/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£160.00;+£62.99;
21/02/2023;CARD PAYMENT;**** ******* ** ************ *********   ** **********;-£6.99;-£97.01;
21/02/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£4.99;-£90.02;
20/02/2023;CARD PAYMENT;**** ******* ** ** *********   ** **********;-£40.01;-£85.03;
20/02/2023;CARD PAYMENT;** ** ***** **** **** ***** ***** ** **********;-£1.49;-£45.02;
20/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.00;-£43.53;
19/02/2023;CARD PAYMENT;*** ***** **** ***** ***** ** **********;-£6.50;-£42.53;
19/02/2023;CARD PAYMENT;************ *** ***** **** ***** ***** ** **********;-£8.50;-£36.03;
19/02/2023;CARD PAYMENT;****** ******* **** ***** ***** ** **********;-£1.79;-£27.53;
19/02/2023;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£2.00;-£25.74;
19/02/2023;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£4.70;-£23.74;
19/02/2023;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£10.40;-£19.04;
19/02/2023;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£1.70;-£8.64;
19/02/2023;CARD PAYMENT;**** ******* ** **********************   ** **********;-£6.99;-£6.94;
19/02/2023;CARD PAYMENT;****** ******** ** **** ***** ***** ** **********;-£6.50;+£0.05;
19/02/2023;CARD PAYMENT;*** **** **** **** ***** ***** ** **********;-£3.50;+£6.55;
18/02/2023;CARD PAYMENT;**** ****** *** **** ***** ***** ** **********;-£11.17;+£10.05;
18/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£4.75;+£21.22;
18/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£4.34;+£25.97;
17/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£70.00;+£30.31;
17/02/2023;FAST PAYMENT;****** ******** ******* ******** **** ******** *;+£50.00;-£39.69;
17/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;-£89.69;
17/02/2023;CARD PAYMENT;**** ******* ** **************   ** **********;-£12.00;-£85.69;
16/02/2023;CARD PAYMENT;**** ****** **** **** ***** ***** ** **********;-£20.00;-£73.69;
16/02/2023;CARD PAYMENT;***** ******* ****** **** ***** ***** ** **********;-£1.50;-£53.69;
16/02/2023;CARD PAYMENT;**** ******* ** ******************   ** **********;-£709.42;-£52.19;
15/02/2023;CARD PAYMENT;************* *** **** **** ***** ***** ** **********;-£12.75;+£657.23;
15/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£710.00;+£669.98;
14/02/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£15.50;-£40.02;
14/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£1.30;-£24.52;
14/02/2023;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£41.84;-£23.22;
14/02/2023;PAYMENTS;******** ***** *** ****** ******* ** ******** ******* ********* ******* * ******* ** ****;-£3.00;+£18.62;
13/02/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£5.07;+£21.62;
13/02/2023;CARD PAYMENT;**** ***** * ******* **** ***** ***** ** **********;-£4.47;+£26.69;
13/02/2023;CARD PAYMENT;**** ******* ** ****** ************* *   ** **********;-£3.50;+£31.16;
13/02/2023;CARD PAYMENT;**** ****** **** ***** ***** ** **********;-£19.99;+£34.66;
12/02/2023;TRANSFER OUT;**** ******* ** ****** ****** ********* ******;-£12.00;+£54.65;
12/02/2023;CARD PAYMENT;********** ****** **** ***** ***** ** **********;-£3.50;+£66.65;
12/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£90.00;+£70.15;
11/02/2023;CARD PAYMENT;* * * **** *** **** **** ***** ***** ** **********;-£3.99;-£19.85;
11/02/2023;CARD PAYMENT;************* *** **** **** ***** ***** ** **********;-£17.75;-£15.86;
11/02/2023;CARD PAYMENT;********* **** ***** ***** ** **********;-£4.55;+£1.89;
11/02/2023;CARD PAYMENT;****** **** * **** *** **** ***** ***** ** **********;-£13.00;+£6.44;
11/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;+£19.44;
11/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£1.00;+£23.44;
10/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.85;+£24.44;
09/02/2023;CARD PAYMENT;**** ********** **** ***** ***** ** **********;-£68.30;+£26.29;
09/02/2023;FAST PAYMENT;****** ******** ******* ************ **** ****** *******;+£160.00;+£94.59;
09/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.59;-£65.41;
08/02/2023;CARD PAYMENT;****** *** **** ***** ***** ** **********;-£5.95;-£63.82;
08/02/2023;CARD PAYMENT;**** ***** **** ***** ***** ** **********;-£7.27;-£57.87;
08/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£4.19;-£50.60;
08/02/2023;CARD PAYMENT;****** ************* * **** ***** ***** ** **********;-£5.29;-£46.41;
08/02/2023;CARD PAYMENT;****** ******* *** *** **** ***** ***** ** **********;-£2.50;-£41.12;
08/02/2023;CARD PAYMENT;******** * **** ***** **** ***** ***** ** **********;-£15.50;-£38.62;
08/02/2023;CARD PAYMENT;********** ** ****** * **** ***** ***** ** **********;-£1.59;-£23.12;
07/02/2023;CARD PAYMENT;******** ***** **** **** ***** ***** ** **********;-£4.00;-£21.53;
07/02/2023;CARD PAYMENT;***** **** ***** ***** ** **********;-£3.60;-£17.53;
07/02/2023;CARD PAYMENT;*************** **** ***** ***** ** **********;-£14.00;-£13.93;
06/02/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£15.98;+£0.07;
06/02/2023;CARD PAYMENT;**** ******* ** ************   ** **********;-£19.99;+£16.05;
